source_ref,event_time,amount,currency,customer_ref,event_code
GL-27,2026-04-23T02:52:00,193494.35,USD,CB202600027,SUSPENSE_POSTED
GL-33,2026-05-07T02:10:00,123178.02,GBP,CB202600033,SUSPENSE_POSTED
GL-37,2026-06-17T12:48:00,112966.78,USD,CB202600037,SUSPENSE_POSTED
GL-44,2026-07-13T03:19:00,257896.56,GBP,CB202600044,SUSPENSE_POSTED
GL-62,2026-07-14T17:37:00,97844.75,GBP,CB202600062,SUSPENSE_POSTED
GL-69,2026-05-19T05:52:00,110963.11,GBP,CB202600069,SUSPENSE_POSTED
GL-73,2026-04-24T11:56:00,160681.47,EUR,CB202600073,SUSPENSE_POSTED
GL-75,2026-06-06T08:01:00,172340.98,EUR,CB202600075,SUSPENSE_POSTED
GL-76,2026-07-03T06:15:00,96413.45,GBP,CB202600076,SUSPENSE_POSTED
GL-84,2026-06-18T11:23:00,160787.1,EUR,CB202600084,SUSPENSE_POSTED
GL-109,2026-06-05T15:36:00,188542.03,USD,CB202600109,SUSPENSE_POSTED
GL-119,2026-05-15T23:51:00,278693.24,EUR,CB202600119,SUSPENSE_POSTED
GL-125,2026-07-12T20:16:00,238781.94,EUR,CB202600125,SUSPENSE_POSTED
GL-129,2026-06-08T00:50:00,287411.26,GBP,CB202600129,SUSPENSE_POSTED
GL-131,2026-06-24T09:52:00,268872.31,EUR,CB202600131,SUSPENSE_POSTED
GL-132,2026-06-24T11:27:00,215738.53,EUR,CB202600132,SUSPENSE_POSTED
GL-133,2026-05-02T11:14:00,84356.15,USD,CB202600133,SUSPENSE_POSTED
GL-136,2026-07-09T21:07:00,61435.7,USD,CB202600136,SUSPENSE_POSTED
GL-154,2026-06-14T18:35:00,71465.56,GBP,CB202600154,SUSPENSE_POSTED
GL-170,2026-06-07T03:17:00,290709.03,GBP,CB202600170,SUSPENSE_POSTED
GL-173,2026-07-08T05:30:00,179396.06,GBP,CB202600173,SUSPENSE_POSTED
GL-185,2026-05-08T08:20:00,281231.67,USD,CB202600185,SUSPENSE_POSTED
GL-200,2026-04-30T04:56:00,177893.12,GBP,CB202600200,SUSPENSE_POSTED
GL-208,2026-05-03T23:16:00,88113.67,GBP,CB202600208,SUSPENSE_POSTED
GL-217,2026-07-10T17:17:00,136045.66,USD,CB202600217,SUSPENSE_POSTED
GL-235,2026-07-08T11:08:00,62472.42,EUR,CB202600235,SUSPENSE_POSTED
GL-238,2026-04-26T20:14:00,178196.08,USD,CB202600238,SUSPENSE_POSTED
GL-266,2026-06-30T21:16:00,189353.55,USD,CB202600266,SUSPENSE_POSTED
GL-268,2026-06-12T17:40:00,56762.73,GBP,CB202600268,SUSPENSE_POSTED
GL-294,2026-05-02T11:51:00,147554.07,GBP,CB202600294,SUSPENSE_POSTED
GL-298,2026-06-20T07:24:00,124301.53,EUR,CB202600298,SUSPENSE_POSTED
