source_ref,event_time,amount,currency,customer_ref,event_code
INS-1,2026-06-04T01:03:00,84664.83,EUR,CB202600001,INSTRUCTION_RECEIVED
INS-1,2026-06-04T01:11:00,84664.83,EUR,CB202600001,VALIDATED
INS-2,2026-04-28T00:51:00,138827.6,EUR,CB202600002,INSTRUCTION_RECEIVED
INS-2,2026-04-28T00:59:00,138827.6,EUR,CB202600002,VALIDATED
INS-3,2026-06-01T08:58:00,155851.88,USD,CB202600003,INSTRUCTION_RECEIVED
INS-3,2026-06-01T09:06:00,155851.88,USD,CB202600003,VALIDATED
INS-4,2026-05-29T03:54:00,77275.62,USD,CB202600004,INSTRUCTION_RECEIVED
INS-4,2026-05-29T04:02:00,77275.62,USD,CB202600004,VALIDATED
INS-5,2026-05-30T19:03:00,127285.24,EUR,CB202600005,INSTRUCTION_RECEIVED
INS-5,2026-05-30T19:11:00,127285.24,EUR,CB202600005,VALIDATED
INS-6,2026-06-12T02:21:00,17738.85,GBP,CB202600006,INSTRUCTION_RECEIVED
INS-6,2026-06-12T02:29:00,17738.85,GBP,CB202600006,VALIDATED
INS-7,2026-07-08T05:12:00,236422.66,EUR,CB202600007,INSTRUCTION_RECEIVED
INS-7,2026-07-08T05:20:00,236422.66,EUR,CB202600007,VALIDATED
INS-8,2026-07-10T19:59:00,215320.32,GBP,CB202600008,INSTRUCTION_RECEIVED
INS-8,2026-07-10T20:07:00,215320.32,GBP,CB202600008,VALIDATED
INS-9,2026-05-11T02:42:00,39954.78,USD,CB202600009,INSTRUCTION_RECEIVED
INS-9,2026-05-11T02:50:00,39954.78,USD,CB202600009,VALIDATED
INS-10,2026-06-24T18:47:00,241560.45,GBP,CB202600010,INSTRUCTION_RECEIVED
INS-10,2026-06-24T18:55:00,241560.45,GBP,CB202600010,VALIDATED
INS-11,2026-06-06T06:30:00,228899.85,USD,CB202600011,INSTRUCTION_RECEIVED
INS-11,2026-06-06T06:38:00,228899.85,USD,CB202600011,VALIDATED
INS-12,2026-04-28T20:44:00,184409.76,USD,CB202600012,INSTRUCTION_RECEIVED
INS-12,2026-04-28T20:52:00,184409.76,USD,CB202600012,VALIDATED
INS-13,2026-05-03T08:09:00,25494.03,USD,CB202600013,INSTRUCTION_RECEIVED
INS-13,2026-05-03T08:17:00,25494.03,USD,CB202600013,VALIDATED
INS-14,2026-07-04T13:02:00,132307.36,GBP,CB202600014,INSTRUCTION_RECEIVED
INS-14,2026-07-04T13:10:00,132307.36,GBP,CB202600014,VALIDATED
INS-15,2026-05-09T19:11:00,73302.45,GBP,CB202600015,INSTRUCTION_RECEIVED
INS-15,2026-05-09T19:19:00,73302.45,GBP,CB202600015,VALIDATED
INS-16,2026-05-27T01:54:00,33424.38,GBP,CB202600016,INSTRUCTION_RECEIVED
INS-16,2026-05-27T02:02:00,33424.38,GBP,CB202600016,VALIDATED
INS-17,2026-05-24T06:10:00,199127.18,USD,CB202600017,INSTRUCTION_RECEIVED
INS-17,2026-05-24T06:18:00,199127.18,USD,CB202600017,VALIDATED
INS-18,2026-04-29T18:36:00,103603.95,GBP,CB202600018,INSTRUCTION_RECEIVED
INS-18,2026-04-29T18:44:00,103603.95,GBP,CB202600018,VALIDATED
INS-19,2026-07-15T05:36:00,277280.43,EUR,CB202600019,INSTRUCTION_RECEIVED
INS-19,2026-07-15T05:44:00,277280.43,EUR,CB202600019,VALIDATED
INS-20,2026-06-25T03:48:00,116408.19,GBP,CB202600020,INSTRUCTION_RECEIVED
INS-20,2026-06-25T03:56:00,116408.19,GBP,CB202600020,VALIDATED
INS-21,2026-06-30T06:04:00,147078.8,EUR,CB202600021,INSTRUCTION_RECEIVED
INS-21,2026-06-30T06:12:00,147078.8,EUR,CB202600021,VALIDATED
INS-22,2026-06-09T00:49:00,279985.47,GBP,CB202600022,INSTRUCTION_RECEIVED
INS-22,2026-06-09T00:57:00,279985.47,GBP,CB202600022,VALIDATED
INS-23,2026-05-11T05:24:00,298041.94,EUR,CB202600023,INSTRUCTION_RECEIVED
INS-23,2026-05-11T05:32:00,298041.94,EUR,CB202600023,VALIDATED
INS-24,2026-06-26T02:29:00,69152.0,USD,CB202600024,INSTRUCTION_RECEIVED
INS-24,2026-06-26T02:37:00,69152.0,USD,CB202600024,VALIDATED
INS-25,2026-05-29T03:07:00,261687.52,USD,CB202600025,INSTRUCTION_RECEIVED
INS-25,2026-05-29T03:15:00,261687.52,USD,CB202600025,VALIDATED
INS-26,2026-05-28T02:08:00,213680.13,EUR,CB202600026,INSTRUCTION_RECEIVED
INS-26,2026-05-28T02:16:00,213680.13,EUR,CB202600026,VALIDATED
INS-27,2026-04-22T21:52:00,193494.35,USD,CB202600027,INSTRUCTION_RECEIVED
INS-27,2026-04-22T22:00:00,193494.35,USD,CB202600027,VALIDATED
INS-28,2026-06-08T10:41:00,62458.61,USD,CB202600028,INSTRUCTION_RECEIVED
INS-28,2026-06-08T10:49:00,62458.61,USD,CB202600028,VALIDATED
INS-29,2026-05-03T14:20:00,245480.2,GBP,CB202600029,INSTRUCTION_RECEIVED
INS-29,2026-05-03T14:28:00,245480.2,GBP,CB202600029,VALIDATED
INS-30,2026-05-01T08:03:00,246411.78,USD,CB202600030,INSTRUCTION_RECEIVED
INS-30,2026-05-01T08:11:00,246411.78,USD,CB202600030,VALIDATED
INS-31,2026-05-16T03:28:00,77022.24,GBP,CB202600031,INSTRUCTION_RECEIVED
INS-31,2026-05-16T03:36:00,77022.24,GBP,CB202600031,VALIDATED
INS-32,2026-05-03T13:33:00,230369.67,GBP,CB202600032,INSTRUCTION_RECEIVED
INS-32,2026-05-03T13:41:00,230369.67,GBP,CB202600032,VALIDATED
INS-33,2026-05-06T21:10:00,123178.02,GBP,CB202600033,INSTRUCTION_RECEIVED
INS-33,2026-05-06T21:18:00,123178.02,GBP,CB202600033,VALIDATED
INS-34,2026-06-18T05:30:00,90814.78,EUR,CB202600034,INSTRUCTION_RECEIVED
INS-34,2026-06-18T05:38:00,90814.78,EUR,CB202600034,VALIDATED
INS-35,2026-04-27T16:08:00,81608.06,EUR,CB202600035,INSTRUCTION_RECEIVED
INS-35,2026-04-27T16:16:00,81608.06,EUR,CB202600035,VALIDATED
INS-36,2026-07-02T12:58:00,154183.93,EUR,CB202600036,INSTRUCTION_RECEIVED
INS-36,2026-07-02T13:06:00,154183.93,EUR,CB202600036,VALIDATED
INS-37,2026-06-17T07:48:00,112966.78,USD,CB202600037,INSTRUCTION_RECEIVED
INS-37,2026-06-17T07:56:00,112966.78,USD,CB202600037,VALIDATED
INS-38,2026-06-23T22:08:00,254939.49,GBP,CB202600038,INSTRUCTION_RECEIVED
INS-38,2026-06-23T22:16:00,254939.49,GBP,CB202600038,VALIDATED
INS-39,2026-04-25T12:22:00,124404.29,USD,CB202600039,INSTRUCTION_RECEIVED
INS-39,2026-04-25T12:30:00,124404.29,USD,CB202600039,VALIDATED
INS-40,2026-04-25T21:46:00,173014.04,USD,CB202600040,INSTRUCTION_RECEIVED
INS-40,2026-04-25T21:54:00,173014.04,USD,CB202600040,VALIDATED
INS-41,2026-06-06T21:24:00,243163.17,GBP,CB202600041,INSTRUCTION_RECEIVED
INS-41,2026-06-06T21:32:00,243163.17,GBP,CB202600041,VALIDATED
INS-42,2026-06-06T03:21:00,99045.93,USD,CB202600042,INSTRUCTION_RECEIVED
INS-42,2026-06-06T03:29:00,99045.93,USD,CB202600042,VALIDATED
INS-43,2026-06-17T20:23:00,227613.79,GBP,CB202600043,INSTRUCTION_RECEIVED
INS-43,2026-06-17T20:31:00,227613.79,GBP,CB202600043,VALIDATED
INS-44,2026-07-12T22:19:00,257896.56,GBP,CB202600044,INSTRUCTION_RECEIVED
