source_ref,event_time,amount,currency,customer_ref,event_code
SW-1,2026-06-04T01:23:00,84664.83,EUR,CB202600001,SWIFT_SENT
SW-2,2026-04-28T01:11:00,138827.6,EUR,CB202600002,SWIFT_SENT
SW-3,2026-06-01T09:18:00,155851.88,USD,CB202600003,SWIFT_SENT
SW-4,2026-05-29T04:14:00,77275.62,USD,CB202600004,SWIFT_SENT
SW-5,2026-05-30T19:23:00,127285.24,EUR,CB202600005,SWIFT_SENT
SW-6,2026-06-12T02:41:00,17738.85,GBP,CB202600006,SWIFT_SENT
SW-7,2026-07-08T05:32:00,236422.66,EUR,CB202600007,SWIFT_SENT
SW-8,2026-07-10T20:19:00,215320.32,GBP,CB202600008,SWIFT_SENT
SW-9,2026-05-11T03:02:00,39954.78,USD,CB202600009,SWIFT_SENT
SW-10,2026-06-24T19:07:00,241560.45,GBP,CB202600010,SWIFT_SENT
SW-11,2026-06-06T06:50:00,228899.85,USD,CB202600011,SWIFT_SENT
SW-12,2026-04-28T21:04:00,184409.76,USD,CB202600012,SWIFT_SENT
SW-13,2026-05-03T08:29:00,25494.03,USD,CB202600013,SWIFT_SENT
SW-14,2026-07-04T13:22:00,132307.36,GBP,CB202600014,SWIFT_SENT
SW-15,2026-05-09T19:31:00,73302.45,GBP,CB202600015,SWIFT_SENT
SW-16,2026-05-27T02:14:00,33424.38,GBP,CB202600016,SWIFT_SENT
SW-17,2026-05-24T06:30:00,199127.18,USD,CB202600017,SWIFT_SENT
SW-18,2026-04-29T18:56:00,103603.95,GBP,CB202600018,SWIFT_SENT
SW-19,2026-07-15T05:56:00,277280.43,EUR,CB202600019,SWIFT_SENT
SW-20,2026-06-25T04:08:00,116408.19,GBP,CB202600020,SWIFT_SENT
SW-21,2026-06-30T06:24:00,147078.8,EUR,CB202600021,SWIFT_SENT
SW-22,2026-06-09T01:09:00,279985.47,GBP,CB202600022,SWIFT_SENT
SW-23,2026-05-11T05:44:00,298041.94,EUR,CB202600023,SWIFT_SENT
SW-24,2026-06-26T02:49:00,69152.0,USD,CB202600024,SWIFT_SENT
SW-25,2026-05-29T03:27:00,261687.52,USD,CB202600025,SWIFT_SENT
SW-26,2026-05-28T02:28:00,213680.13,EUR,CB202600026,SWIFT_SENT
SW-27,2026-04-22T22:12:00,193494.35,USD,CB202600027,SWIFT_SENT
SW-28,2026-06-08T11:01:00,62458.61,USD,CB202600028,SWIFT_SENT
SW-29,2026-05-03T14:40:00,245480.2,GBP,CB202600029,SWIFT_SENT
SW-30,2026-05-01T08:23:00,246411.78,USD,CB202600030,SWIFT_SENT
SW-31,2026-05-16T03:48:00,77022.24,GBP,CB202600031,SWIFT_SENT
SW-32,2026-05-03T13:53:00,230369.67,GBP,CB202600032,SWIFT_SENT
SW-33,2026-05-06T21:30:00,123178.02,GBP,CB202600033,SWIFT_SENT
SW-34,2026-06-18T05:50:00,90814.78,EUR,CB202600034,SWIFT_SENT
SW-35,2026-04-27T16:28:00,81608.06,EUR,CB202600035,SWIFT_SENT
SW-36,2026-07-02T13:18:00,154183.93,EUR,CB202600036,SWIFT_SENT
SW-37,2026-06-17T08:08:00,112966.78,USD,CB202600037,SWIFT_SENT
SW-38,2026-06-23T22:28:00,254939.49,GBP,CB202600038,SWIFT_SENT
SW-39,2026-04-25T12:42:00,124404.29,USD,CB202600039,SWIFT_SENT
SW-40,2026-04-25T22:06:00,173014.04,USD,CB202600040,SWIFT_SENT
SW-41,2026-06-06T21:44:00,243163.17,GBP,CB202600041,SWIFT_SENT
SW-42,2026-06-06T03:41:00,99045.93,USD,CB202600042,SWIFT_SENT
SW-43,2026-06-17T20:43:00,227613.79,GBP,CB202600043,SWIFT_SENT
SW-44,2026-07-12T22:39:00,257896.56,GBP,CB202600044,SWIFT_SENT
SW-45,2026-06-24T04:43:00,217926.99,USD,CB202600045,SWIFT_SENT
SW-46,2026-06-29T00:37:00,195044.91,EUR,CB202600046,SWIFT_SENT
SW-47,2026-05-05T02:31:00,118813.8,EUR,CB202600047,SWIFT_SENT
SW-48,2026-06-15T06:47:00,235159.72,GBP,CB202600048,SWIFT_SENT
SW-49,2026-06-22T02:56:00,124816.17,USD,CB202600049,SWIFT_SENT
SW-50,2026-06-05T13:11:00,149030.1,GBP,CB202600050,SWIFT_SENT
SW-51,2026-07-11T18:20:00,66348.13,EUR,CB202600051,SWIFT_SENT
SW-52,2026-07-08T11:30:00,102855.53,EUR,CB202600052,SWIFT_SENT
SW-53,2026-07-01T06:24:00,63187.27,GBP,CB202600053,SWIFT_SENT
SW-54,2026-06-17T14:33:00,150916.94,USD,CB202600054,SWIFT_SENT
SW-55,2026-06-27T23:19:00,215479.63,USD,CB202600055,SWIFT_SENT
SW-56,2026-05-09T03:22:00,131758.32,GBP,CB202600056,SWIFT_SENT
SW-57,2026-05-13T13:56:00,206364.57,USD,CB202600057,SWIFT_SENT
SW-58,2026-05-13T11:33:00,19351.85,GBP,CB202600058,SWIFT_SENT
SW-59,2026-07-03T00:53:00,21574.07,GBP,CB202600059,SWIFT_SENT
SW-60,2026-06-28T05:43:00,211956.66,EUR,CB202600060,SWIFT_SENT
