source_ref,event_time,amount,currency,customer_ref,event_code
WF-1-1,2026-06-04T10:03:00,84664.83,EUR,CB202600001,BENEFICIARY_CONFIRMED
WF-1-2,2026-06-04T11:03:00,84664.83,EUR,CB202600001,CLOSED
WF-2-1,2026-04-28T03:51:00,138827.6,EUR,CB202600002,BENEFICIARY_CONFIRMED
WF-2-2,2026-04-28T04:51:00,138827.6,EUR,CB202600002,CLOSED
WF-3-1,2026-06-01T11:58:00,155851.88,USD,CB202600003,BENEFICIARY_CONFIRMED
WF-3-2,2026-06-01T12:58:00,155851.88,USD,CB202600003,CLOSED
WF-4-1,2026-05-29T06:54:00,77275.62,USD,CB202600004,BENEFICIARY_CONFIRMED
WF-4-2,2026-05-29T07:54:00,77275.62,USD,CB202600004,CLOSED
WF-5-1,2026-05-30T22:03:00,127285.24,EUR,CB202600005,BENEFICIARY_CONFIRMED
WF-5-2,2026-05-30T23:03:00,127285.24,EUR,CB202600005,CLOSED
WF-6-1,2026-06-12T11:21:00,17738.85,GBP,CB202600006,BENEFICIARY_CONFIRMED
WF-6-2,2026-06-12T12:21:00,17738.85,GBP,CB202600006,CLOSED
WF-7-1,2026-07-08T08:12:00,236422.66,EUR,CB202600007,BENEFICIARY_CONFIRMED
WF-7-2,2026-07-08T09:12:00,236422.66,EUR,CB202600007,CLOSED
WF-8-1,2026-07-10T22:59:00,215320.32,GBP,CB202600008,BENEFICIARY_CONFIRMED
WF-8-2,2026-07-10T23:59:00,215320.32,GBP,CB202600008,CLOSED
WF-9-1,2026-05-11T16:42:00,39954.78,USD,CB202600009,BENEFICIARY_CONFIRMED
WF-9-2,2026-05-11T17:42:00,39954.78,USD,CB202600009,CLOSED
WF-10-1,2026-06-24T21:47:00,241560.45,GBP,CB202600010,BENEFICIARY_CONFIRMED
WF-10-2,2026-06-24T22:47:00,241560.45,GBP,CB202600010,CLOSED
WF-11-1,2026-06-06T09:30:00,228899.85,USD,CB202600011,BENEFICIARY_CONFIRMED
WF-11-2,2026-06-06T10:30:00,228899.85,USD,CB202600011,CLOSED
WF-12-1,2026-04-29T10:44:00,184409.76,USD,CB202600012,BENEFICIARY_CONFIRMED
WF-12-2,2026-04-29T11:44:00,184409.76,USD,CB202600012,CLOSED
WF-13-1,2026-05-03T17:09:00,25494.03,USD,CB202600013,BENEFICIARY_CONFIRMED
WF-13-2,2026-05-03T18:09:00,25494.03,USD,CB202600013,CLOSED
WF-14-1,2026-07-04T22:02:00,132307.36,GBP,CB202600014,BENEFICIARY_CONFIRMED
WF-14-2,2026-07-04T23:02:00,132307.36,GBP,CB202600014,CLOSED
WF-15-1,2026-05-09T22:11:00,73302.45,GBP,CB202600015,BENEFICIARY_CONFIRMED
WF-15-2,2026-05-09T23:11:00,73302.45,GBP,CB202600015,CLOSED
WF-16-1,2026-05-27T15:54:00,33424.38,GBP,CB202600016,BENEFICIARY_CONFIRMED
WF-16-2,2026-05-27T16:54:00,33424.38,GBP,CB202600016,CLOSED
WF-17-1,2026-05-24T09:10:00,199127.18,USD,CB202600017,BENEFICIARY_CONFIRMED
WF-17-2,2026-05-24T10:10:00,199127.18,USD,CB202600017,CLOSED
WF-18-1,2026-04-29T21:36:00,103603.95,GBP,CB202600018,BENEFICIARY_CONFIRMED
WF-18-2,2026-04-29T22:36:00,103603.95,GBP,CB202600018,CLOSED
WF-19-1,2026-07-15T08:36:00,277280.43,EUR,CB202600019,BENEFICIARY_CONFIRMED
WF-19-2,2026-07-15T09:36:00,277280.43,EUR,CB202600019,CLOSED
WF-20-1,2026-06-25T06:48:00,116408.19,GBP,CB202600020,BENEFICIARY_CONFIRMED
WF-20-2,2026-06-25T07:48:00,116408.19,GBP,CB202600020,CLOSED
WF-21-1,2026-06-30T09:04:00,147078.8,EUR,CB202600021,BENEFICIARY_CONFIRMED
WF-21-2,2026-06-30T10:04:00,147078.8,EUR,CB202600021,CLOSED
WF-22-1,2026-06-09T03:49:00,279985.47,GBP,CB202600022,BENEFICIARY_CONFIRMED
WF-22-2,2026-06-09T04:49:00,279985.47,GBP,CB202600022,CLOSED
WF-23-1,2026-05-11T08:24:00,298041.94,EUR,CB202600023,BENEFICIARY_CONFIRMED
WF-23-2,2026-05-11T09:24:00,298041.94,EUR,CB202600023,CLOSED
