customer_ref,event_time,amount,currency,event_code,source_system
CB00001,2026-04-21T06:00:00,1731,GBP,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00001,2026-04-21T06:08:00,1731,GBP,VALIDATED,INSTRUCTIONS
CB00001,2026-04-21T06:20:00,1731,GBP,SWIFT_SENT,SWIFT
CB00001,2026-04-21T14:00:00,1731,GBP,SETTLEMENT_OBSERVED,NOSTRO
CB00001,2026-04-21T20:00:00,1731,GBP,BENEFICIARY_CONFIRMED,WORKFLOW
CB00001,2026-04-21T21:00:00,1731,GBP,CLOSED,WORKFLOW
CB00002,2026-04-21T12:00:00,2462,EUR,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00002,2026-04-21T12:08:00,2462,EUR,VALIDATED,INSTRUCTIONS
CB00002,2026-04-21T12:20:00,2462,EUR,SWIFT_SENT,SWIFT
CB00002,2026-04-21T20:00:00,2462,EUR,SETTLEMENT_OBSERVED,NOSTRO
CB00002,2026-04-22T02:00:00,2462,EUR,BENEFICIARY_CONFIRMED,WORKFLOW
CB00002,2026-04-22T03:00:00,2462,EUR,CLOSED,WORKFLOW
CB00003,2026-04-21T18:00:00,3193,USD,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00003,2026-04-21T18:08:00,3193,USD,VALIDATED,INSTRUCTIONS
CB00003,2026-04-21T18:20:00,3193,USD,SWIFT_SENT,SWIFT
CB00003,2026-04-22T02:00:00,3193,USD,SETTLEMENT_OBSERVED,NOSTRO
CB00003,2026-04-22T08:00:00,3193,USD,BENEFICIARY_CONFIRMED,WORKFLOW
CB00003,2026-04-22T09:00:00,3193,USD,CLOSED,WORKFLOW
CB00004,2026-04-22T00:00:00,3924,GBP,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00004,2026-04-22T00:08:00,3924,GBP,VALIDATED,INSTRUCTIONS
CB00004,2026-04-22T00:20:00,3924,GBP,SWIFT_SENT,SWIFT
CB00004,2026-04-22T02:00:00,3924,GBP,SETTLEMENT_OBSERVED,NOSTRO
CB00004,2026-04-22T03:00:00,3924,GBP,BENEFICIARY_CONFIRMED,WORKFLOW
CB00004,2026-04-22T04:00:00,3924,GBP,CLOSED,WORKFLOW
CB00005,2026-04-22T06:00:00,4655,EUR,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00005,2026-04-22T06:08:00,4655,EUR,VALIDATED,INSTRUCTIONS
CB00005,2026-04-22T06:20:00,4655,EUR,SWIFT_SENT,SWIFT
CB00005,2026-04-22T08:00:00,4655,EUR,SETTLEMENT_OBSERVED,NOSTRO
CB00005,2026-04-22T09:00:00,4655,EUR,BENEFICIARY_CONFIRMED,WORKFLOW
CB00005,2026-04-22T10:00:00,4655,EUR,CLOSED,WORKFLOW
CB00006,2026-04-22T12:00:00,5386,USD,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00006,2026-04-22T12:08:00,5386,USD,VALIDATED,INSTRUCTIONS
CB00006,2026-04-22T12:20:00,5386,USD,SWIFT_SENT,SWIFT
CB00006,2026-04-22T14:00:00,5386,USD,SETTLEMENT_OBSERVED,NOSTRO
CB00006,2026-04-22T15:00:00,5386,USD,BENEFICIARY_CONFIRMED,WORKFLOW
CB00006,2026-04-22T16:00:00,5386,USD,CLOSED,WORKFLOW
CB00007,2026-04-22T18:00:00,6117,GBP,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00007,2026-04-22T18:08:00,6117,GBP,VALIDATED,INSTRUCTIONS
CB00007,2026-04-22T18:20:00,6117,GBP,SWIFT_SENT,SWIFT
CB00007,2026-04-22T20:00:00,6117,GBP,SETTLEMENT_OBSERVED,NOSTRO
CB00007,2026-04-22T21:00:00,6117,GBP,BENEFICIARY_CONFIRMED,WORKFLOW
CB00007,2026-04-22T22:00:00,6117,GBP,CLOSED,WORKFLOW
CB00008,2026-04-23T00:00:00,6848,EUR,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00008,2026-04-23T00:08:00,6848,EUR,VALIDATED,INSTRUCTIONS
CB00008,2026-04-23T00:20:00,6848,EUR,SWIFT_SENT,SWIFT
CB00008,2026-04-23T02:00:00,6848,EUR,SETTLEMENT_OBSERVED,NOSTRO
CB00008,2026-04-23T03:00:00,6848,EUR,BENEFICIARY_CONFIRMED,WORKFLOW
CB00008,2026-04-23T04:00:00,6848,EUR,CLOSED,WORKFLOW
CB00009,2026-04-23T06:00:00,7579,USD,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00009,2026-04-23T06:08:00,7579,USD,VALIDATED,INSTRUCTIONS
CB00009,2026-04-23T06:20:00,7579,USD,SWIFT_SENT,SWIFT
CB00009,2026-04-23T08:00:00,7579,USD,SETTLEMENT_OBSERVED,NOSTRO
CB00009,2026-04-23T09:00:00,7579,USD,BENEFICIARY_CONFIRMED,WORKFLOW
CB00009,2026-04-23T10:00:00,7579,USD,CLOSED,WORKFLOW
CB00010,2026-04-23T12:00:00,8310,GBP,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00010,2026-04-23T12:08:00,8310,GBP,VALIDATED,INSTRUCTIONS
CB00010,2026-04-23T12:20:00,8310,GBP,SWIFT_SENT,SWIFT
CB00010,2026-04-23T17:00:00,8310,GBP,SUSPENSE_POSTED,GL
CB00011,2026-04-23T18:00:00,9041,EUR,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00011,2026-04-23T18:08:00,9041,EUR,VALIDATED,INSTRUCTIONS
CB00011,2026-04-23T18:20:00,9041,EUR,SWIFT_SENT,SWIFT
CB00011,2026-04-24T02:00:00,9041,EUR,SETTLEMENT_OBSERVED,NOSTRO
CB00011,2026-04-24T08:00:00,9041,EUR,BENEFICIARY_CONFIRMED,WORKFLOW
CB00011,2026-04-24T09:00:00,9041,EUR,CLOSED,WORKFLOW
CB00012,2026-04-24T00:00:00,9772,USD,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00012,2026-04-24T00:08:00,9772,USD,VALIDATED,INSTRUCTIONS
CB00012,2026-04-24T00:20:00,9772,USD,SWIFT_SENT,SWIFT
CB00012,2026-04-24T08:00:00,9772,USD,SETTLEMENT_OBSERVED,NOSTRO
CB00012,2026-04-24T14:00:00,9772,USD,BENEFICIARY_CONFIRMED,WORKFLOW
CB00012,2026-04-24T15:00:00,9772,USD,CLOSED,WORKFLOW
CB00013,2026-04-24T06:00:00,10503,GBP,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00013,2026-04-24T06:08:00,10503,GBP,VALIDATED,INSTRUCTIONS
CB00013,2026-04-24T06:20:00,10503,GBP,SWIFT_SENT,SWIFT
CB00013,2026-04-24T14:00:00,10503,GBP,SETTLEMENT_OBSERVED,NOSTRO
CB00013,2026-04-24T20:00:00,10503,GBP,BENEFICIARY_CONFIRMED,WORKFLOW
CB00013,2026-04-24T21:00:00,10503,GBP,CLOSED,WORKFLOW
CB00014,2026-04-24T12:00:00,11234,EUR,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00014,2026-04-24T12:08:00,11234,EUR,VALIDATED,INSTRUCTIONS
CB00014,2026-04-24T12:20:00,11234,EUR,SWIFT_SENT,SWIFT
CB00014,2026-04-24T14:00:00,11234,EUR,SETTLEMENT_OBSERVED,NOSTRO
CB00014,2026-04-24T15:00:00,11234,EUR,BENEFICIARY_CONFIRMED,WORKFLOW
CB00014,2026-04-24T16:00:00,11234,EUR,CLOSED,WORKFLOW
CB00015,2026-04-24T18:00:00,11965,USD,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00015,2026-04-24T18:08:00,11965,USD,VALIDATED,INSTRUCTIONS
CB00015,2026-04-24T18:20:00,11965,USD,SWIFT_SENT,SWIFT
CB00015,2026-04-24T20:00:00,11965,USD,SETTLEMENT_OBSERVED,NOSTRO
CB00015,2026-04-24T21:00:00,11965,USD,BENEFICIARY_CONFIRMED,WORKFLOW
CB00015,2026-04-24T22:00:00,11965,USD,CLOSED,WORKFLOW
CB00016,2026-04-25T00:00:00,12696,GBP,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00016,2026-04-25T00:08:00,12696,GBP,VALIDATED,INSTRUCTIONS
CB00016,2026-04-25T00:20:00,12696,GBP,SWIFT_SENT,SWIFT
CB00016,2026-04-25T02:00:00,12696,GBP,SETTLEMENT_OBSERVED,NOSTRO
CB00016,2026-04-25T03:00:00,12696,GBP,BENEFICIARY_CONFIRMED,WORKFLOW
CB00016,2026-04-25T04:00:00,12696,GBP,CLOSED,WORKFLOW
CB00017,2026-04-25T06:00:00,13427,EUR,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00017,2026-04-25T06:08:00,13427,EUR,VALIDATED,INSTRUCTIONS
CB00017,2026-04-25T06:20:00,13427,EUR,SWIFT_SENT,SWIFT
CB00017,2026-04-25T08:00:00,13427,EUR,SETTLEMENT_OBSERVED,NOSTRO
CB00017,2026-04-25T09:00:00,13427,EUR,BENEFICIARY_CONFIRMED,WORKFLOW
CB00017,2026-04-25T10:00:00,13427,EUR,CLOSED,WORKFLOW
CB00018,2026-04-25T12:00:00,14158,USD,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00018,2026-04-25T12:08:00,14158,USD,VALIDATED,INSTRUCTIONS
CB00018,2026-04-25T12:20:00,14158,USD,SWIFT_SENT,SWIFT
CB00018,2026-04-25T14:00:00,14158,USD,SETTLEMENT_OBSERVED,NOSTRO
CB00018,2026-04-25T15:00:00,14158,USD,BENEFICIARY_CONFIRMED,WORKFLOW
CB00018,2026-04-25T16:00:00,14158,USD,CLOSED,WORKFLOW
CB00019,2026-04-25T18:00:00,14889,GBP,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00019,2026-04-25T18:08:00,14889,GBP,VALIDATED,INSTRUCTIONS
CB00019,2026-04-25T18:20:00,14889,GBP,SWIFT_SENT,SWIFT
CB00019,2026-04-25T20:00:00,14889,GBP,SETTLEMENT_OBSERVED,NOSTRO
CB00019,2026-04-25T21:00:00,14889,GBP,BENEFICIARY_CONFIRMED,WORKFLOW
CB00019,2026-04-25T22:00:00,14889,GBP,CLOSED,WORKFLOW
CB00020,2026-04-26T00:00:00,15620,EUR,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00020,2026-04-26T00:08:00,15620,EUR,VALIDATED,INSTRUCTIONS
CB00020,2026-04-26T00:20:00,15620,EUR,SWIFT_SENT,SWIFT
CB00020,2026-04-26T05:00:00,15620,EUR,SUSPENSE_POSTED,GL
CB00021,2026-04-26T06:00:00,16351,USD,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00021,2026-04-26T06:08:00,16351,USD,VALIDATED,INSTRUCTIONS
CB00021,2026-04-26T06:20:00,16351,USD,SWIFT_SENT,SWIFT
CB00021,2026-04-26T14:00:00,16351,USD,SETTLEMENT_OBSERVED,NOSTRO
CB00021,2026-04-26T20:00:00,16351,USD,BENEFICIARY_CONFIRMED,WORKFLOW
CB00021,2026-04-26T21:00:00,16351,USD,CLOSED,WORKFLOW
CB00022,2026-04-26T12:00:00,17082,GBP,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00022,2026-04-26T12:08:00,17082,GBP,VALIDATED,INSTRUCTIONS
CB00022,2026-04-26T12:20:00,17082,GBP,SWIFT_SENT,SWIFT
CB00022,2026-04-26T20:00:00,17082,GBP,SETTLEMENT_OBSERVED,NOSTRO
CB00022,2026-04-27T02:00:00,17082,GBP,BENEFICIARY_CONFIRMED,WORKFLOW
CB00022,2026-04-27T03:00:00,17082,GBP,CLOSED,WORKFLOW
CB00023,2026-04-26T18:00:00,17813,EUR,INSTRUCTION_RECEIVED,INSTRUCTIONS
CB00023,2026-04-26T18:08:00,17813,EUR,VALIDATED,INSTRUCTIONS
CB00023,2026-04-26T18:20:00,17813,EUR,SWIFT_SENT,SWIFT
